Name,Price,Categories,Neighborhood,City,Rating
4 Charles Prime Rib,$$$,"American, Burgers, Steakhouse",West Village,New York,10.0
SAGA,$$$$,Global,Financial District,New York,9.99590570719603
Le Bernardin,None,French,Theater District,New York,9.99181141439206
Peter Luger Steak House,$$$$,"American, Steakhouse",Southside,New York,9.987717121588089
Don Angie,$$$,Italian,West Village,New York,9.983622828784119
The Mad Hatter Restaurant,$$$,,,Sanibel,9.97952853598015
Vetri Cucina,$$$$,"American, Italian",Washington Square West,Philadelphia,9.975434243176178
Bern's Steak House,$$$$,"American, Dessert, Steakhouse",Historic Hyde Park North,Tampa,9.971339950372208
Misi,$$$,Italian,Williamsburg,New York,9.967245657568238
The Daily Catch Restaurant,$$,"Italian, Seafood",North End,Boston,9.963151364764268
I Sodi,$$$,Italian,West Village,New York,9.959057071960299
L'Artusi,$$$,Italian,West Village,New York,9.954962779156327
Marea,$$$$,"Italian, Seafood",Midtown West,New York,9.950868486352357
Oxomoco,$$$,Mexican,Greenpoint,New York,9.946774193548388
The Four Horsemen,$$$,American,Williamsburg,New York,9.942679900744416
Vernick Food & Drink,$$$,"American, French",Center City West,Philadelphia,9.938585607940446
Barclay Prime,$$$$,Steakhouse,Rittenhouse Square,Philadelphia,9.934491315136476
Raoul's,$$$,"Bistro, French",South Village,New York,9.930397022332507
Au Cheval,$$$,"American, Diner",Lower Manhattan,New York,9.926302729528537
Lilia,$$$,Italian,Williamsburg,New York,9.922208436724565
Via Carota,$$$,Italian,West Village,New York,9.918114143920596
Fiorella Pasta,$,Italian,Bella Vista,Philadelphia,9.914019851116626
Pelican & Pig,None,American,Greenwood,Nashville,9.909925558312654
Laser Wolf,$$,"Israeli, Middle Eastern",Olde Kensington,Philadelphia,9.905831265508684
Chubby Fish,None,Seafood,Cannonborough Elliotborough,Charleston,9.901736972704715
Angelo's Pizzeria,None,Pizza,Bella Vista,Philadelphia,9.897642679900745
Joe's Stone Crab,$$$,"American, Seafood",South Beach,Miami Beach,9.893548387096775
Thai Diner,$$,Thai,Nolita,New York,9.889454094292804
The Salt House,$$,Gastropub,Prallsville,New Hope,9.885359801488834
Minetta Tavern,$$$,"American, Burgers, Steakhouse",South Village,New York,9.881265508684864
Carbone,$$$,Italian,South Village,New York,9.877171215880892
Murph's Bar,$$,"Bar, Irish, Italian",Fishtown,Philadelphia,9.873076923076923
Zahav,$$$,Israeli,Society Hill,Philadelphia,9.868982630272953
Prince's Hot Chicken Shack South,$,"American, Southern",Townhomes of Shadow Glen,Nashville,9.864888337468983
